locus_tag,start,end,length,strand,old_locus_tag,ncbi_protein,gene_name,gene_product,Eggnog_description,COG_category,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,ENTRAF_TF,ENTRAF_hmm_acc,ENTRAF_hmm_name,ENTRAF_Ortholog,DeepTFactor_TF,DeepTFactor_score,P2TF_TF,P2TF_class,P2TF_type,P2TF_description
SYNPCC7942_RS00380,75928,76617,690,+,Synpcc7942_0077,WP_011243739.1,,helix-turn-helix domain-containing protein,,X,,,,,,,,,,,,,False,,,,True,0.9675,True,TR,Xre,"Transcription factor, Xre family contains 1 HTH_XRE"
SYNPCC7942_RS00385,76614,77063,450,-,Synpcc7942_0078,WP_011243738.1,,secondary thiamine-phosphate synthase enzyme YjbQ,Uncharacterised protein family UPF0047,S,,,,,,,,,,,,UPF0047,False,,,,False,0.0064,False,,,
SYNPCC7942_RS00390,77138,77584,447,-,Synpcc7942_0079,WP_011243737.1,ycf41,single-stranded DNA-binding protein,Single-stranded DNA-binding protein,L,,,ko:K03111,"ko03030,ko03430,ko03440,map03030,map03430,map03440",,,,"ko00000,ko00001,ko03029,ko03032,ko03400",,,,SSB,False,,,,False,0.0108,False,,,
SYNPCC7942_RS00395,77648,78871,1224,-,Synpcc7942_0080,WP_011243736.1,salY,ABC transporter permease,"ABC-type antimicrobial peptide transport system, permease component",V,,,ko:K02004,,M00258,,,"ko00000,ko00002,ko02000",3.A.1,,,"FtsX,MacB_PCD",False,,,,False,0.0066,False,,,
SYNPCC7942_RS00400,78987,79196,210,-,Synpcc7942_0081,WP_011377430.1,,RNA-binding S4 domain-containing protein,RNA-binding S4,S,,,ko:K14761,,,,,"ko00000,ko03009",,,,S4_2,False,,,,False,0.0116,False,,,
SYNPCC7942_RS00405,79283,81013,1731,+,Synpcc7942_0082,WP_039755891.1,mdlB,ABC transporter ATP-binding protein/permease,"ABC-type multidrug transport system, ATPase and permease",V,,,ko:K06147,,,,,"ko00000,ko02000","3.A.1.106,3.A.1.109,3.A.1.21",,,"ABC_membrane,ABC_tran",False,,,,False,0.0065,False,,,
SYNPCC7942_RS00410,81023,81220,198,+,Synpcc7942_0083,WP_011243733.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.109,False,,,
SYNPCC7942_RS00415,81217,81918,702,+,Synpcc7942_0084,WP_011377432.1,,hypothetical protein,"Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins",O,,,,,,,,,,,,Peptidase_M41,False,,,,False,0.0069,False,,,
SYNPCC7942_RS00420,82179,82865,687,-,Synpcc7942_0085,WP_011377433.1,,HAD family phosphatase,Haloacid dehalogenase-like hydrolase,S,,,,,,,,,,,,HAD_2,False,,,,False,0.0133,False,,,
SYNPCC7942_RS00425,82871,84955,2085,-,Synpcc7942_0086,WP_011243730.1,glgX,glycogen debranching protein GlgX,Belongs to the glycosyl hydrolase 13 family,G,,3.2.1.68,ko:K01214,"ko00500,ko01100,ko01110,map00500,map01100,map01110",M00565,"R09995,R11261",,"ko00000,ko00001,ko00002,ko01000",,"CBM48,GH13",,"Alpha-amylase,CBM_48",False,,,,False,0.0072,False,,,
SYNPCC7942_RS00430,84964,86475,1512,-,Synpcc7942_0087,WP_011377434.1,,site-2 protease family protein,Peptidase family M50,S,,,,,,,,,,,,Peptidase_M50,False,,,,False,0.0088,False,,,
SYNPCC7942_RS00435,86547,87269,723,+,Synpcc7942_0088,WP_011243728.1,,hypothetical protein,"COG0491 Zn-dependent hydrolases, including glyoxylases",S,,,,,,,,,,,,,False,,,,False,0.0157,False,,,
SYNPCC7942_RS00440,87494,87688,195,+,,WP_039755509.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0046,False,,,
SYNPCC7942_RS00450,87881,88615,735,-,Synpcc7942_0089,WP_011243727.1,clcD,dienelactone hydrolase family protein,dienelactone hydrolase,Q,,3.1.1.45,ko:K01061,"ko00361,ko00364,ko00623,ko01100,ko01110,ko01120,ko01130,map00361,map00364,map00623,map01100,map01110,map01120,map01130",,"R03893,R05510,R05511,R06835,R06838,R08120,R08121,R09136,R09220,R09222","RC01018,RC01906,RC01907,RC02441,RC02467,RC02468,RC02674,RC02675,RC02686","ko00000,ko00001,ko01000",,,,DLH,False,,,,False,0.0085,False,,,
SYNPCC7942_RS00455,88735,89718,984,+,Synpcc7942_0090,WP_011243726.1,,GntR family transcriptional regulator,Transcriptional regulator,K,,,ko:K07978,,,,,"ko00000,ko03000",,,,GntR,True,PF00392.20,GntR,-,True,0.9993,True,TR,GntR,"Transcription factor, GntR family contains 1 GntR"
SYNPCC7942_RS00460,89715,90326,612,-,Synpcc7942_0091,WP_011243725.1,ubiC,chorismate lyase,Chorismate lyase,H,,4.1.3.40,ko:K03181,"ko00130,ko01100,ko01110,map00130,map01100,map01110",M00117,R01302,"RC00491,RC02148","ko00000,ko00001,ko00002,ko01000",,,,DUF98,False,,,,False,0.0087,False,,,
SYNPCC7942_RS00465,90583,90930,348,-,Synpcc7942_0092,WP_011243724.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0104,False,,,
SYNPCC7942_RS00470,91029,91676,648,+,Synpcc7942_0093,WP_011377435.1,tmk,dTMP kinase,Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis,F,"GO:0003674,GO:0003824,GO:0004798,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006220,GO:0006221,GO:0006227,GO:0006233,GO:0006235,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009041,GO:0009058,GO:0009117,GO:0009123,GO:0009132,GO:0009133,GO:0009138,GO:0009139,GO:0009141,GO:0009142,GO:0009147,GO:0009148,GO:0009165,GO:0009186,GO:0009189,GO:0009196,GO:0009197,GO:0009200,GO:0009202,GO:0009211,GO:0009212,GO:0009219,GO:0009221,GO:0009262,GO:0009263,GO:0009265,GO:0009394,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0019692,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046072,GO:0046075,GO:0046077,GO:0046385,GO:0046483,GO:0046940,GO:0050145,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",2.7.4.9,ko:K00943,"ko00240,ko01100,map00240,map01100",M00053,"R02094,R02098",RC00002,"ko00000,ko00001,ko00002,ko01000",,,,Thymidylate_kin,False,,,,False,0.0055,False,,,
SYNPCC7942_RS00475,91676,92611,936,+,Synpcc7942_0094,WP_011377436.1,holB,DNA polymerase III subunit delta',DNA polymerase III,L,,2.7.7.7,ko:K02341,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440",M00260,"R00375,R00376,R00377,R00378",RC02795,"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400",,,,DNA_pol3_delta2,False,,,,False,0.0203,False,,,
SYNPCC7942_RS00480,92590,93339,750,-,Synpcc7942_0095,WP_011377437.1,rpaA,response regulator transcription factor,COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,K,,,ko:K10697,"ko02020,map02020",M00467,,,"ko00000,ko00001,ko00002,ko02022",,,,"Response_reg,Trans_reg_C",True,PF00486.27,Trans_reg_C,-,True,0.9983,True,RR,OmpR,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
SYNPCC7942_RS00490,93764,94285,522,-,Synpcc7942_0096,WP_011243720.1,,DUF1269 domain-containing protein,membrane,S,,,,,,,,,,,,DUF1269,False,,,,False,0.0065,False,,,
SYNPCC7942_RS00495,94375,98166,3792,-,Synpcc7942_0097,WP_011377438.1,cobN,cobaltochelatase subunit CobN,COG1429 Cobalamin biosynthesis protein CobN and related Mg-chelatases,H,,6.6.1.2,ko:K02230,"ko00860,ko01100,map00860,map01100",,R05227,RC02000,"ko00000,ko00001,ko01000",,,,CobN-Mg_chel,False,,,,False,0.0,False,,,
SYNPCC7942_RS00500,98302,100086,1785,-,Synpcc7942_0098,WP_011243718.1,pyk,pyruvate kinase,Belongs to the pyruvate kinase family,G,"GO:0003674,GO:0003824,GO:0004743,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016052,GO:0016053,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576",2.7.1.40,ko:K00873,"ko00010,ko00230,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04922,ko04930,ko05165,ko05203,ko05230,map00010,map00230,map00620,map01100,map01110,map01120,map01130,map01200,map01230,map04922,map04930,map05165,map05203,map05230","M00001,M00002,M00049,M00050","R00200,R00430,R01138,R01858,R02320","RC00002,RC00015","ko00000,ko00001,ko00002,ko01000,ko04131,ko04147",,,,"PEP-utilizers,PK,PK_C",False,,,,False,0.0076,True,TR,PucR,"Transcription factor, PucR family contains 1 PucR"
SYNPCC7942_RS00505,100202,100531,330,+,Synpcc7942_0099,WP_011243717.1,,nucleoside triphosphate pyrophosphohydrolase family protein,MazG nucleotide pyrophosphohydrolase domain,S,,,,,,,,,,,,MazG,False,,,,False,0.0072,False,,,
SYNPCC7942_RS00510,100528,101082,555,-,Synpcc7942_0100,WP_011377439.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.014,False,,,
SYNPCC7942_RS00515,101259,102593,1335,+,Synpcc7942_0101,WP_011377440.1,ndbA,NAD(P)/FAD-dependent oxidoreductase,NADH dehydrogenase,C,,1.6.99.3,ko:K03885,"ko00190,map00190",,,,"ko00000,ko00001,ko01000",,,,Pyr_redox_2,False,,,,False,0.0087,False,,,
SYNPCC7942_RS00520,102674,103237,564,+,Synpcc7942_0102,WP_011377441.1,,Uma2 family endonuclease,Putative restriction endonuclease,S,,,,,,,,,,,,Uma2,False,,,,False,0.0282,False,,,
SYNPCC7942_RS00525,103268,103645,378,-,Synpcc7942_0103,WP_011243713.1,,ankyrin repeat domain-containing protein,response to abiotic stimulus,G,,,,,,,,,,,,"Ank_2,Ank_4,Ank_5",False,,,,False,0.0108,False,,,
SYNPCC7942_RS00530,103632,104456,825,-,Synpcc7942_0104,WP_039755500.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0115,False,,,
SYNPCC7942_RS00535,104653,106377,1725,-,Synpcc7942_0105,WP_011377443.1,nadE,NAD+ synthase,Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses L-glutamine as a nitrogen source,H,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008795,GO:0009058,GO:0009108,GO:0009117,GO:0009165,GO:0009435,GO:0009987,GO:0016874,GO:0016879,GO:0016880,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019637,GO:0019674,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046483,GO:0046496,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072524,GO:0072525,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576","6.3.1.5,6.3.5.1","ko:K01916,ko:K01950","ko00760,ko01100,map00760,map01100",M00115,"R00189,R00257","RC00010,RC00100","ko00000,ko00001,ko00002,ko01000",,,,"CN_hydrolase,NAD_synthase",False,,,,False,0.014,False,,,
SYNPCC7942_RS00540,106374,106952,579,-,Synpcc7942_0106,WP_011243710.1,nadD,nicotinate-nucleotide adenylyltransferase,adenylyltransferase,H,"GO:0000309,GO:0003674,GO:0003824,GO:0004515,GO:0006082,GO:0006139,GO:0006520,GO:0006531,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009066,GO:0009108,GO:0009117,GO:0009165,GO:0009435,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019355,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019637,GO:0019674,GO:0019752,GO:0034627,GO:0034628,GO:0034641,GO:0034654,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0046483,GO:0046496,GO:0051186,GO:0051188,GO:0055086,GO:0070566,GO:0071704,GO:0072524,GO:0072525,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605",2.7.7.18,ko:K00969,"ko00760,ko01100,map00760,map01100",M00115,"R00137,R03005",RC00002,"ko00000,ko00001,ko00002,ko01000",,,,CTP_transf_like,False,,,,False,0.0113,False,,,
SYNPCC7942_RS00545,106965,108383,1419,-,Synpcc7942_0107,WP_011377444.1,,GTP-binding protein,Dynamin family,S,,,ko:K06883,,,,,ko00000,,,,"DUF697,MMR_HSR1",False,,,,False,0.0087,False,,,
SYNPCC7942_RS00550,108556,108816,261,+,Synpcc7942_0108,WP_011243708.1,,sulfiredoxin,ParB nuclease domain protein,S,,,,,,,,,,,,ParBc,False,,,,False,0.021,False,,,
SYNPCC7942_RS00555,108877,109383,507,+,Synpcc7942_0109,WP_011377445.1,dps,DNA starvation/stationary phase protection protein,Belongs to the Dps family,P,,,ko:K04047,,,,,"ko00000,ko03036",,,,Ferritin,False,,,,False,0.0166,False,,,
SYNPCC7942_RS00560,109390,109947,558,+,Synpcc7942_0110,WP_011377446.1,,helix-turn-helix transcriptional regulator,Cro/C1-type HTH DNA-binding domain,K,,,,,,,,,,,,"GrpE,HTH_26",False,,,,True,0.9657,True,TR,Xre,"Transcription factor, Xre family contains 1 HTH_XRE"
SYNPCC7942_RS00565,110012,111607,1596,+,Synpcc7942_0111,WP_011377447.1,,Hsp70 family protein,molecular chaperone,O,,,,,,,,,,,,HSP70,False,,,,False,0.0199,False,,,
SYNPCC7942_RS00570,111686,113140,1455,+,Synpcc7942_0112,WP_011377448.1,phrA,deoxyribodipyrimidine photo-lyase%2C 8-HDF type,Belongs to the DNA photolyase family,H,,4.1.99.3,ko:K01669,,,,,"ko00000,ko01000,ko03400",,,,"DNA_photolyase,FAD_binding_7",False,,,,False,0.0076,False,,,
SYNPCC7942_RS00575,113196,113288,93,+,Synpcc7942_0113,WP_011243703.1,petL,cytochrome b6-f complex subunit PetL,,X,,,,,,,,,,,,,False,,,,False,0.0054,False,,,
SYNPCC7942_RS00580,113327,113698,372,+,Synpcc7942_0114,WP_011243702.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0031,False,,,
SYNPCC7942_RS13655,113631,114146,516,-,Synpcc7942_0115,WP_011377449.1,,cupin domain-containing protein,"PFAM WxcM-like, C-terminal",M,,,,,,,,,,,,,False,,,,False,0.0102,False,,,
SYNPCC7942_RS00585,114299,115273,975,+,Synpcc7942_0116,WP_011243700.1,cscK,carbohydrate kinase,"COG0524 Sugar kinases, ribokinase family",G,,2.7.1.4,ko:K00847,"ko00051,ko00500,ko00520,ko01100,map00051,map00500,map00520,map01100",,"R00760,R00867,R03920","RC00002,RC00017","ko00000,ko00001,ko01000",,,,PfkB,False,,,,False,0.0313,False,,,
SYNPCC7942_RS13660,115391,116722,1332,+,Synpcc7942_0117,WP_011243699.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0131,False,,,
SYNPCC7942_RS00590,116943,118427,1485,+,Synpcc7942_0118,WP_011377450.1,gatB,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln),J,"GO:0003674,GO:0003824,GO:0006082,GO:0006139,GO:0006399,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016070,GO:0016874,GO:0016879,GO:0016884,GO:0019752,GO:0034641,GO:0034660,GO:0043038,GO:0043039,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0046483,GO:0050567,GO:0070681,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564","6.3.5.6,6.3.5.7",ko:K02434,"ko00970,ko01100,map00970,map01100",,"R03905,R04212",RC00010,"ko00000,ko00001,ko01000,ko03029",,,,"GatB_N,GatB_Yqey",False,,,,False,0.1959,False,,,
SYNPCC7942_RS00595,118515,118793,279,+,,WP_196794060.1,nrtS,nitrate/nitrite transporter NrtS,,X,,,,,,,,,,,,,False,,,,False,0.0125,False,,,
SYNPCC7942_RS00600,118735,119292,558,-,Synpcc7942_0119,WP_011243696.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0072,False,,,
SYNPCC7942_RS00605,119508,119993,486,-,Synpcc7942_0120,WP_011377451.1,,nucleoside deaminase,MafB19-like deaminase,FJ,,,,,,,,,,,,dCMP_cyt_deam_1,False,,,,False,0.0125,False,,,
SYNPCC7942_RS00610,120013,121239,1227,-,Synpcc7942_0121,WP_011377452.1,,lipid-A-disaccharide synthase-related protein,protein conserved in bacteria,S,,,,,,,,,,,,,False,,,,False,0.008,False,,,
SYNPCC7942_RS00620,121831,123408,1578,-,Synpcc7942_0122,WP_011243693.1,,EAL domain-containing protein,CSS motif domain associated with EAL,T,,,,,,,,,,,,"CSS-motif,EAL",False,,,,False,0.0068,False,,,
SYNPCC7942_RS00630,124070,124669,600,-,Synpcc7942_0124,WP_011243692.1,,methyltransferase domain-containing protein,Thiopurine S-methyltransferase (TPMT),Q,,2.1.1.67,ko:K00569,"ko00983,map00983",,"R08236,R08239,R08246","RC00003,RC00980,RC02277","ko00000,ko00001,ko01000",,,,TPMT,False,,,,False,0.005,False,,,
SYNPCC7942_RS00635,124738,125367,630,-,Synpcc7942_0125,WP_011243691.1,hisB,imidazoleglycerol-phosphate dehydratase HisB,Imidazoleglycerol-phosphate dehydratase,E,"GO:0000105,GO:0003674,GO:0003824,GO:0004424,GO:0006082,GO:0006520,GO:0006547,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009987,GO:0016053,GO:0016829,GO:0016835,GO:0016836,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046483,GO:0052803,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",4.2.1.19,ko:K01693,"ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230",M00026,R03457,RC00932,"ko00000,ko00001,ko00002,ko01000",,,,IGPD,False,,,,False,0.2999,False,,,
SYNPCC7942_RS00640,125382,126158,777,-,Synpcc7942_0126,WP_011377454.1,fabI,enoyl-ACP reductase FabI,Enoyl- acyl-carrier-protein reductase NADH,I,"GO:0003674,GO:0003824,GO:0004312,GO:0004318,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0016043,GO:0016053,GO:0016491,GO:0016627,GO:0016628,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0022607,GO:0030497,GO:0032787,GO:0043436,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0046394,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0055114,GO:0065003,GO:0071704,GO:0071840,GO:0072330,GO:1901576","1.3.1.10,1.3.1.9",ko:K00208,"ko00061,ko00333,ko00780,ko01100,ko01130,ko01212,map00061,map00333,map00780,map01100,map01130,map01212","M00083,M00572","R01404,R04429,R04430,R04724,R04725,R04955,R04956,R04958,R04959,R04961,R04962,R04966,R04967,R04969,R04970,R07765,R10118,R10122,R11671","RC00052,RC00076,RC00120","ko00000,ko00001,ko00002,ko01000,ko01004",,,,adh_short_C2,False,,,,False,0.019,False,,,
SYNPCC7942_RS00645,126390,127058,669,+,Synpcc7942_0127,WP_011243689.1,ntcA,global nitrogen regulator NtcA,COG0664 cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,K,"GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0032991,GO:0032993,GO:0043565,GO:0097159,GO:1901363",,ko:K21561,,,,,"ko00000,ko03000",,,,"HTH_Crp_2,cNMP_binding",False,,,,True,0.9969,True,OCS,Crp,"Transcription factor, Crp family contains 1 cNMP_binding,1 HTH_CRP"
SYNPCC7942_RS00650,127151,128449,1299,+,Synpcc7942_0128,WP_011243688.1,sll1424,DUF3084 domain-containing protein,Protein of unknown function (DUF3084),S,,,,,,,,,,,,DUF3084,False,,,,False,0.0782,False,,,
SYNPCC7942_RS00655,128446,128877,432,+,Synpcc7942_0129,WP_011243687.1,sll0832,pre-16S rRNA-processing nuclease YqgF,PFAM Uncharacterised protein family (UPF0081),L,,,,,,,,,,,,RuvX,False,,,,False,0.0117,False,,,
SYNPCC7942_RS00660,128822,129409,588,-,Synpcc7942_0130,WP_011377455.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0096,False,,,
SYNPCC7942_RS00665,129670,132495,2826,-,Synpcc7942_0131,WP_011377456.1,,cyclic nucleotide-binding domain-containing protein,cyclic nucleotide-binding domain,C,,,,,,,,,,,,"Fer4_5,cNMP_binding",False,,,,False,0.0117,False,,,
SYNPCC7942_RS00670,132721,133770,1050,-,Synpcc7942_0132,WP_011377457.1,,FAD-dependent oxidoreductase,Oxidoreductase,S,,,ko:K06955,,,,,ko00000,,,,"Amino_oxidase,NAD_binding_8",False,,,,False,0.0113,False,,,
SYNPCC7942_RS00675,133915,134754,840,+,Synpcc7942_0133,WP_011377458.1,,YaaW family protein,COGs COG4735 conserved,S,,,,,,,,,,,,,False,,,,False,0.0096,False,,,
SYNPCC7942_RS00680,134859,136052,1194,+,Synpcc7942_0134,WP_155814001.1,,O-antigen ligase family protein,COG3307 Lipid A core - O-antigen ligase and related enzymes,M,,,,,,,,,,,,Wzy_C,False,,,,False,0.0083,False,,,
SYNPCC7942_RS00685,136016,136651,636,-,Synpcc7942_0135,WP_011243682.1,rapQ,methyltransferase domain-containing protein,COG0500 SAM-dependent methyltransferases,H,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0008152,GO:0008168,GO:0008757,GO:0016740,GO:0016741,GO:0032259,GO:0044424,GO:0044464","2.1.1.163,2.1.1.201",ko:K03183,"ko00130,ko01100,ko01110,map00130,map01100,map01110","M00116,M00117","R04990,R04993,R06859,R08774,R09736","RC00003,RC01253,RC01662","ko00000,ko00001,ko00002,ko01000",,,,"Methyltransf_11,Methyltransf_25",False,,,,False,0.0165,False,,,
SYNPCC7942_RS00690,136706,138013,1308,-,Synpcc7942_0136,WP_011243681.1,,site-specific integrase,Phage integrase family protein,L,,,,,,,,,,,,Phage_integrase,False,,,,False,0.0129,False,,,
SYNPCC7942_RS00695,138115,139278,1164,+,Synpcc7942_0137,WP_011243680.1,hemH,ferrochelatase,Catalyzes the ferrous insertion into protoporphyrin IX,H,"GO:0003674,GO:0003824,GO:0004325,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016829,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0046148,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576","4.99.1.1,4.99.1.9",ko:K01772,"ko00860,ko01100,ko01110,map00860,map01100,map01110",M00121,"R00310,R11329",RC01012,"ko00000,ko00001,ko00002,ko01000",,,,"Chloroa_b-bind,Ferrochelatase",False,,,,False,0.0275,False,,,
SYNPCC7942_RS00700,139416,140018,603,+,Synpcc7942_0138,WP_011377460.1,,M23 family metallopeptidase,Peptidase family M23,M,,,,,,,,,,,,Peptidase_M23,False,,,,False,0.0048,False,,,
